"year","storm_num","name","cat5_hours","cat4_hours","cat3_hours","cat2_hours","cat1_hours","ts_hours","td_hours"
1851,1,"Unnamed",0,0,0,0,30,42,0
1851,2,"Unnamed",0,0,0,0,6,0,0
1851,3,"Unnamed",0,0,0,0,0,6,0
1851,4,"Unnamed",0,0,24,36,84,138,0
1851,5,"Unnamed",0,0,0,0,0,90,0
1851,6,"Unnamed",0,0,0,0,0,90,0
1852,1,"Unnamed",0,0,60,54,54,96,0
1852,2,"Unnamed",0,0,0,0,18,24,0
1852,3,"Unnamed",0,0,0,0,90,24,0
1852,4,"Unnamed",0,0,0,0,174,36,0
1852,5,"Unnamed",0,0,0,96,6,36,0
1853,1,"Unnamed",0,0,0,0,0,6,0
1853,2,"Unnamed",0,0,0,0,0,6,0
1853,3,"Unnamed",0,96,66,18,54,48,0
1853,4,"Unnamed",0,0,60,6,0,0,0
1853,5,"Unnamed",0,0,0,0,0,6,0
1853,6,"Unnamed",0,0,0,0,90,36,0
1853,7,"Unnamed",0,0,0,0,0,6,0
1853,8,"Unnamed",0,0,0,24,54,0,0
1854,1,"Unnamed",0,0,0,0,30,30,0
1854,2,"Unnamed",0,0,0,0,0,6,0
1854,3,"Unnamed",0,0,48,24,30,36,0
1854,4,"Unnamed",0,0,0,24,12,18,0
1854,5,"Unnamed",0,0,0,0,0,66,0
1855,1,"Unnamed",0,0,0,6,0,0,0
1855,2,"Unnamed",0,0,0,30,0,0,0
1855,3,"Unnamed",0,0,0,0,6,0,0
1855,4,"Unnamed",0,0,0,0,0,90,0
1855,5,"Unnamed",0,0,24,6,18,6,0
1856,1,"Unnamed",0,18,18,6,18,18,0
1856,2,"Unnamed",0,0,0,0,42,0,0
1856,3,"Unnamed",0,0,0,0,0,60,0
1856,4,"Unnamed",0,0,0,0,0,6,0
1856,5,"Unnamed",0,0,24,60,78,72,0
1856,6,"Unnamed",0,0,0,0,36,78,0
1857,1,"Unnamed",0,0,0,0,0,42,0
1857,2,"Unnamed",0,0,0,54,108,96,0
1857,3,"Unnamed",0,0,0,0,114,0,0
1857,4,"Unnamed",0,0,0,24,54,84,0
1858,1,"Unnamed",0,0,0,0,6,0,0
1858,2,"Unnamed",0,0,0,0,6,0,0
1858,3,"Unnamed",0,0,0,18,18,42,0
1858,4,"Unnamed",0,0,0,0,168,18,0
1858,5,"Unnamed",0,0,0,0,54,24,0
1858,6,"Unnamed",0,0,0,24,60,42,0
1859,1,"Unnamed",0,0,0,6,0,0,0
1859,2,"Unnamed",0,0,0,66,0,0,0
