"name","year","storm_num","time","intensity","longitude","latitude","max_wind","min_pressure","max_radii_34kt_ne","max_radii_34kt_se","max_radii_34kt_sw","max_radii_34kt_nw","max_radii_50kt_ne","max_radii_50kt_se","max_radii_50kt_sw","max_radii_50kt_nw","max_radii_64kt_ne","max_radii_64kt_se","max_radii_64kt_sw","max_radii_64kt_nw"
"UNNAMED",1851,1,1851-06-25 00:00:00,"HU",-94.8,28,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-25 06:00:00,"HU",-95.4,28,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-25 12:00:00,"HU",-96,28,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-25 18:00:00,"HU",-96.5,28.1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-25 21:00:00,"HU",-96.8,28.2,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-26 00:00:00,"HU",-97,28.2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-26 06:00:00,"TS",-97.6,28.3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-26 12:00:00,"TS",-98.3,28.4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-26 18:00:00,"TS",-98.9,28.6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-27 00:00:00,"TS",-99.4,29,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-27 06:00:00,"TS",-99.8,29.5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-27 12:00:00,"TS",-100,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-27 18:00:00,"TS",-100.1,30.5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,1,1851-06-28 00:00:00,"TS",-100.2,31,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,2,1851-07-05 12:00:00,"HU",-97.6,22.2,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,3,1851-07-10 12:00:00,"TS",-60,12,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,4,1851-08-16 00:00:00,"TS",-48,13.4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,4,1851-08-16 06:00:00,"TS",-49.5,13.7,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,4,1851-08-16 12:00:00,"TS",-51,14,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,4,1851-08-16 18:00:00,"TS",-52.8,14.4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,4,1851-08-17 00:00:00,"TS",-54.6,14.9,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNNAMED",1851,4,1851-08-17 06:00:00,"TS",-56.5,15.4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
