"year","cat5_prop","cat5_avg","cat4_prop","cat4_avg","cat3_prop","cat3_avg","cat2_prop","cat2_avg","cat1_prop","cat1_avg","ts_prop","ts_avg","td_prop","td_avg"
1851,0,0,0,0,0.043956043956044,4,0.0659340659340659,6,0.21978021978022,20,0.67032967032967,61,0,0
1852,0,0,0,0,0.078125,12,0.1953125,30,0.4453125,68.4,0.28125,43.2,0,0
1853,0,0,0.166666666666667,12,0.21875,15.75,0.0833333333333333,6,0.34375,24.75,0.1875,13.5,0,0
1854,0,0,0,0,0.148148148148148,9.6,0.148148148148148,9.6,0.222222222222222,14.4,0.481481481481481,31.2,0,0
1855,0,0,0,0,0.129032258064516,4.8,0.225806451612903,8.4,0.129032258064516,4.8,0.516129032258065,19.2,0,0
1856,0,0,0.0337078651685393,3,0.0786516853932584,7,0.123595505617978,11,0.325842696629214,29,0.438202247191011,39,0,0
1857,0,0,0,0,0,0,0.135416666666667,19.5,0.479166666666667,69,0.385416666666667,55.5,0,0
1858,0,0,0,0,0,0,0.0875,7,0.65,52,0.2625,21,0,0
1859,0,0,0,0,0.127906976744186,8.25,0.197674418604651,12.75,0.372093023255814,24,0.302325581395349,19.5,0,0
1860,0,0,0,0,0.0530973451327434,5.14285714285714,0.247787610619469,24,0.300884955752212,29.1428571428571,0.398230088495575,38.5714285714286,0,0
1861,0,0,0,0,0,0,0.111111111111111,8.25,0.414141414141414,30.75,0.474747474747475,35.25,0,0
1862,0,0,0,0,0,0,0.379746835443038,30,0.253164556962025,20,0.367088607594937,29,0,0
1863,0,0,0,0,0,0,0.210526315789474,13.3333333333333,0.421052631578947,26.6666666666667,0.368421052631579,23.3333333333333,0,0
1864,0,0,0,0,0,0,0,0,0.587301587301587,44.4,0.412698412698413,31.2,0,0
1865,0,0,0,0,0,0,0.404494382022472,30.8571428571429,0.168539325842697,12.8571428571429,0.426966292134831,32.5714285714286,0,0
1866,0,0,0.0357142857142857,3.42857142857143,0.125,12,0.330357142857143,31.7142857142857,0.428571428571429,41.1428571428571,0.0803571428571429,7.71428571428571,0,0
1867,0,0,0,0,0.0272727272727273,2,0.181818181818182,13.3333333333333,0.472727272727273,34.6666666666667,0.318181818181818,23.3333333333333,0,0
1868,0,0,0,0,0,0,0.3,27,0.35,31.5,0.35,31.5,0,0
1869,0,0,0,0,0.0526315789473684,2.4,0.394736842105263,18,0.381578947368421,17.4,0.171052631578947,7.8,0,0
1870,0,0,0,0,0.0689655172413793,5.45454545454545,0.227586206896552,18,0.43448275862069,34.3636363636364,0.268965517241379,21.2727272727273,0,0
1871,0,0,0,0,0.0656565656565657,9.75,0.161616161616162,24,0.222222222222222,33,0.5,74.25,0.0505050505050505,7.5
1872,0,0,0,0,0,0,0.0606060606060606,12,0.460606060606061,91.2,0.460606060606061,91.2,0.0181818181818182,3.6
1873,0,0,0,0,0.072463768115942,12,0.152173913043478,25.2,0.355072463768116,58.8,0.420289855072464,69.6,0,0
1874,0,0,0,0,0,0,0.00680272108843537,0.857142857142857,0.27891156462585,35.1428571428571,0.639455782312925,80.5714285714286,0.0748299319727891,9.42857142857143
1875,0,0,0,0,0.0137931034482759,2,0.131034482758621,19,0.558620689655172,81,0.289655172413793,42,0.00689655172413793,1
1876,0,0,0,0,0.040650406504065,6,0.105691056910569,15.6,0.349593495934959,51.6,0.479674796747967,70.8,0.024390243902439,3.6
1877,0,0,0,0,0.00526315789473684,0.75,0.068421052631579,9.75,0.363157894736842,51.75,0.563157894736842,80.25,0,0
1878,0,0,0.0228571428571429,4,0.0914285714285714,16,0.0657142857142857,11.5,0.371428571428571,65,0.445714285714286,78,0.00285714285714286,0.5
1879,0,0,0,0,0.0470588235294118,6,0.0588235294117647,7.5,0.176470588235294,22.5,0.705882352941177,90,0.0117647058823529,1.5
1880,0,0,0.0296296296296296,4.36363636363636,0.0407407407407407,6,0.0925925925925926,13.6363636363636,0.348148148148148,51.2727272727273,0.477777777777778,70.3636363636364,0.0111111111111111,1.63636363636364
1881,0,0,0,0,0,0,0.0604026845637584,7.71428571428571,0.342281879194631,43.7142857142857,0.570469798657718,72.8571428571429,0.0268456375838926,3.42857142857143
1882,0,0,0.00769230769230769,1,0.0384615384615385,5,0.0923076923076923,12,0.4,52,0.453846153846154,59,0.00769230769230769,1
1883,0,0,0,0,0.142857142857143,24,0.169642857142857,28.5,0.401785714285714,67.5,0.276785714285714,46.5,0.00892857142857143,1.5
1884,0,0,0,0,0.0555555555555556,12,0.125,27,0.4375,94.5,0.347222222222222,75,0.0347222222222222,7.5
